<s>             | dit             | topic 8        topic 39       topic 61       topic 25       
dit             | weekend         | topic 8        topic 39       topic 61       topic 25       
weekend         | wordt           | topic 8        topic 39       topic 61       topic 25       
wordt           | op              | topic 8        topic 39       topic 61       topic 25       
op              | <UNK>           | topic 8        topic 39       topic 61       topic 25       
<UNK>           | de              | topic 8        topic 39       topic 61       topic 25       
de              | British         | topic 8        topic 39       topic 61       topic 25       
British         | Open            | topic 8        topic 39       topic 61       topic 25       
Open            | gespeeld        | topic 8        topic 39       topic 61       topic 25       
gespeeld        | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | en              | topic 8        topic 39       topic 61       topic 25       
en              | noteer          | topic 8        topic 39       topic 61       topic 25       
noteer          | voor            | topic 8        topic 39       topic 61       topic 25       
voor            | september       | topic 8        topic 39       topic 61       topic 25       
september       | alvast          | topic 8        topic 39       topic 61       topic 25       
alvast          | de              | topic 8        topic 39       topic 61       topic 25       
de              | Ryder           | topic 8        topic 39       topic 61       topic 25       
Ryder           | Cup             | topic 8        topic 39       topic 61       topic 25       
Cup             | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | sport           | topic 8        topic 39       topic 61       topic 25       
sport           | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | nooit           | topic 8        topic 39       topic 61       topic 25       
nooit           | geweten         | topic 8        topic 39       topic 61       topic 25       
geweten         | dat             | topic 8        topic 39       topic 61       topic 25       
dat             | het             | topic 8        topic 39       topic 61       topic 25       
het             | woord           | topic 8        topic 39       topic 61       topic 25       
woord           | bestond         | topic 8        topic 39       topic 61       topic 25       
bestond         | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | dat             | topic 8        topic 39       topic 61       topic 25       
dat             | is              | topic 8        topic 39       topic 61       topic 25       
is              | één           | topic 8        topic 39       topic 61       topic 25       
één           | boven           | topic 8        topic 39       topic 61       topic 25       
boven           | par             | topic 8        topic 39       topic 61       topic 25       
par             | en              | topic 8        topic 39       topic 61       topic 25       
en              | voor            | topic 8        topic 39       topic 61       topic 25       
voor            | een             | topic 8        topic 39       topic 61       topic 25       
een             | professional    | topic 8        topic 39       topic 61       topic 25       
professional    | is              | topic 8        topic 39       topic 61       topic 25       
is              | dat             | topic 8        topic 39       topic 61       topic 25       
dat             | een             | topic 8        topic 39       topic 61       topic 25       
een             | zware           | topic 8        topic 39       topic 61       topic 25       
zware           | misser          | topic 8        topic 39       topic 61       topic 25       
misser          | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | een             | topic 8        topic 39       topic 61       topic 25       
een             | double          | topic 8        topic 39       topic 61       topic 25       
double          | <UNK>           | topic 8        topic 39       topic 61       topic 25       
<UNK>           | ja              | topic 8        topic 39       topic 61       topic 25       
ja              | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | twee            | topic 8        topic 39       topic 61       topic 25       
twee            | boven           | topic 8        topic 39       topic 61       topic 25       
boven           | paragraaf       | topic 8        topic 39       topic 61       topic 25       
paragraaf       | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | courante        | topic 8        topic 39       topic 61       topic 25       
courante        | praktijk        | topic 8        topic 39       topic 61       topic 25       
praktijk        | voor            | topic 8        topic 39       topic 61       topic 25       
voor            | een             | topic 8        topic 39       topic 61       topic 25       
een             | amateur         | topic 8        topic 39       topic 61       topic 25       
amateur         | voor            | topic 8        topic 39       topic 61       topic 25       
voor            | een             | topic 8        topic 39       topic 61       topic 25       
een             | professional    | topic 8        topic 39       topic 61       topic 25       
professional    | een             | topic 8        topic 39       topic 61       topic 25       
een             | catastrofe      | topic 8        topic 39       topic 61       topic 25       
catastrofe      | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | een             | topic 8        topic 39       topic 61       topic 25       
een             | triple          | topic 8        topic 39       topic 61       topic 25       
triple          | <UNK>           | topic 8        topic 39       topic 61       topic 25       
<UNK>           | daarvan         | topic 8        topic 39       topic 61       topic 25       
daarvan         | wordt           | topic 8        topic 39       topic 61       topic 25       
wordt           | een             | topic 8        topic 39       topic 61       topic 25       
een             | amateur         | topic 8        topic 39       topic 61       topic 25       
amateur         | zeer            | topic 8        topic 39       topic 61       topic 25       
zeer            | <UNK>           | topic 8        topic 39       topic 61       topic 25       
<UNK>           | een             | topic 8        topic 39       topic 61       topic 25       
een             | professional    | topic 8        topic 39       topic 61       topic 25       
professional    | die             | topic 8        topic 39       topic 61       topic 25       
die             | het             | topic 8        topic 39       topic 61       topic 25       
het             | overkomt        | topic 8        topic 39       topic 61       topic 25       
overkomt        | levert          | topic 8        topic 39       topic 61       topic 25       
levert          | zijn            | topic 8        topic 39       topic 61       topic 25       
zijn            | clubs           | topic 8        topic 39       topic 61       topic 25       
clubs           | in              | topic 8        topic 39       topic 61       topic 25       
in              | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | met             | topic 8        topic 39       topic 61       topic 25       
met             | <UNK>           | topic 8        topic 39       topic 61       topic 25       
<UNK>           | boven           | topic 8        topic 39       topic 61       topic 25       
boven           | par             | topic 8        topic 39       topic 61       topic 25       
par             | zijn            | topic 8        topic 39       topic 61       topic 25       
zijn            | we              | topic 8        topic 39       topic 61       topic 25       
we              | bij             | topic 8        topic 39       topic 61       topic 25       
bij             | <UNK>           | topic 8        topic 39       topic 61       topic 25       
<UNK>           | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | schijnt         | topic 8        topic 39       topic 61       topic 25       
schijnt         | één           | topic 8        topic 39       topic 61       topic 25       
één           | keer            | topic 8        topic 39       topic 61       topic 25       
keer            | per             | topic 8        topic 39       topic 61       topic 25       
per             | halve           | topic 8        topic 39       topic 61       topic 25       
halve           | eeuw            | topic 8        topic 39       topic 61       topic 25       
eeuw            | voor            | topic 8        topic 39       topic 61       topic 25       
voor            | te              | topic 8        topic 39       topic 61       topic 25       
te              | komen           | topic 8        topic 39       topic 61       topic 25       
komen           | in              | topic 8        topic 39       topic 61       topic 25       
in              | het             | topic 8        topic 39       topic 61       topic 25       
het             | professionele   | topic 8        topic 39       topic 61       topic 25       
professionele   | golf            | topic 8        topic 39       topic 61       topic 25       
golf            | maar            | topic 8        topic 39       topic 61       topic 25       
maar            | niemand         | topic 8        topic 39       topic 61       topic 25       
niemand         | weet            | topic 8        topic 39       topic 61       topic 25       
weet            | waar            | topic 8        topic 39       topic 61       topic 25       
waar            | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | bij             | topic 8        topic 39       topic 61       topic 25       
bij             | analogie        | topic 8        topic 39       topic 61       topic 25       
analogie        | moet            | topic 8        topic 39       topic 61       topic 25       
moet            | vijf            | topic 8        topic 39       topic 61       topic 25       
vijf            | boven           | topic 8        topic 39       topic 61       topic 25       
boven           | par             | topic 8        topic 39       topic 61       topic 25       
par             | dan             | topic 8        topic 39       topic 61       topic 25       
dan             | een             | topic 8        topic 39       topic 61       topic 25       
een             | <UNK>           | topic 8        topic 39       topic 61       topic 25       
<UNK>           | <UNK>           | topic 8        topic 39       topic 61       topic 25       
<UNK>           | zijn            | topic 8        topic 39       topic 61       topic 25       
zijn            | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | nooit           | topic 8        topic 39       topic 61       topic 25       
nooit           | tegengekomen    | topic 8        topic 39       topic 61       topic 25       
tegengekomen    | in              | topic 8        topic 39       topic 61       topic 25       
in              | de              | topic 8        topic 39       topic 61       topic 25       
de              | vakliteratuur   | topic 8        topic 39       topic 61       topic 25       
vakliteratuur   | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | zes             | topic 8        topic 39       topic 61       topic 25       
zes             | zou             | topic 8        topic 39       topic 61       topic 25       
zou             | <UNK>           | topic 8        topic 39       topic 61       topic 25       
<UNK>           | kunnen          | topic 8        topic 39       topic 61       topic 25       
kunnen          | zijn            | topic 8        topic 39       topic 61       topic 25       
zijn            | al              | topic 8        topic 39       topic 61       topic 25       
al              | doet            | topic 8        topic 39       topic 61       topic 25       
doet            | dat             | topic 8        topic 39       topic 61       topic 25       
dat             | meer            | topic 8        topic 39       topic 61       topic 25       
meer            | denken          | topic 8        topic 39       topic 61       topic 25       
denken          | aan             | topic 8        topic 39       topic 61       topic 25       
aan             | een             | topic 8        topic 39       topic 61       topic 25       
een             | goedkope        | topic 8        topic 39       topic 61       topic 25       
goedkope        | gore            | topic 8        topic 39       topic 61       topic 25       
gore            | tent            | topic 8        topic 39       topic 61       topic 25       
tent            | in              | topic 8        topic 39       topic 61       topic 25       
in              | Soho            | topic 8        topic 39       topic 61       topic 25       
Soho            | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | en              | topic 8        topic 39       topic 61       topic 25       
en              | dan             | topic 8        topic 39       topic 61       topic 25       
dan             | zijn            | topic 8        topic 39       topic 61       topic 25       
zijn            | we              | topic 8        topic 39       topic 61       topic 25       
we              | er              | topic 8        topic 39       topic 61       topic 25       
er              | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | John            | topic 8        topic 39       topic 61       topic 25       
John            | <UNK>           | topic 8        topic 39       topic 61       topic 25       
<UNK>           | op              | topic 8        topic 39       topic 61       topic 25       
op              | de              | topic 8        topic 39       topic 61       topic 25       
de              | US              | topic 8        topic 39       topic 61       topic 25       
US              | Open            | topic 8        topic 39       topic 61       topic 25       
Open            | van             | topic 8        topic 39       topic 61       topic 25       
van             | dit             | topic 8        topic 39       topic 61       topic 25       
dit             | jaar            | topic 8        topic 39       topic 61       topic 25       
jaar            | </s>            | topic 8        topic 39       topic 61       topic 25       
<s>             | de              | topic 8        topic 39       topic 61       topic 25       
